base_symbol,quote_symbol,hedge_ratio,half_life,window,10th percentile,90th percentile
VETUSDT,NEOUSDT,0.003,9.0,18,-0.007182,-0.000804
VETUSDT,QTUMUSDT,0.009,8.0,16,-0.0053857999999999,1.720000000000279e-05
VETUSDT,THETAUSDT,0.018,4.0,8,0.001366,0.0071216
VETUSDT,SXPUSDT,0.037,10.0,20,0.0084852,0.014685
VETUSDT,WAVESUSDT,0.001,14.0,28,0.0167216,0.032066
VETUSDT,DOTUSDT,0.003,7.0,14,0.00133,0.0058036
VETUSDT,ICXUSDT,0.064,5.0,10,0.0052959999999999,0.0109039999999999
VETUSDT,NEARUSDT,0.003,12.0,24,0.0114398,0.0180926
VETUSDT,FILUSDT,0.003,5.0,10,0.002698,0.0081656
VETUSDT,ZENUSDT,0.001,19.0,38,0.0079379999999999,0.017522
VETUSDT,XEMUSDT,0.598,4.0,8,-0.0031445999999999,0.0015006
VETUSDT,HBARUSDT,0.267,6.0,12,0.0045520599999999,0.00945062
VETUSDT,ONEUSDT,0.349,9.0,18,0.0130438239999999,0.019788612
VETUSDT,IOTXUSDT,0.742,5.0,10,0.000170856,0.006205452
VETUSDT,ARUSDT,0.002,9.0,18,-0.002008,0.005272
VETUSDT,FLOWUSDT,0.008,7.0,14,0.0087655999999999,0.0157036
VETUSDT,CKBUSDT,5.093,5.0,10,0.0015675459999999,0.007378092
NEOUSDT,NEARUSDT,1.238,24.0,48,3.0397336000000013,7.508416000000005
NEOUSDT,FILUSDT,0.948,5.0,10,2.5607520000000004,4.9039472
NEOUSDT,HBARUSDT,99.825,9.0,18,1.278642999999999,3.6853385000000007
NEOUSDT,DGBUSDT,869.868,4.0,8,-0.8932547840000009,1.7657444880000022
NEOUSDT,KLAYUSDT,17.928,8.0,16,3.3733862400000003,6.076414400000001
NEOUSDT,MINAUSDT,8.103,8.0,16,2.0562688000000025,4.7194148
NEOUSDT,CKBUSDT,1814.717,4.0,8,1.0918723060000013,3.212787844
QTUMUSDT,THETAUSDT,2.097,10.0,20,0.1770177999999998,1.1260366000000013
QTUMUSDT,SXPUSDT,4.347,10.0,20,1.0400277999999998,1.9516258399999995
QTUMUSDT,DOTUSDT,0.336,9.0,18,0.3183999999999997,1.03844
QTUMUSDT,EGLDUSDT,0.036,11.0,22,0.6139279999999997,1.5758640000000002
QTUMUSDT,AVAXUSDT,0.068,11.0,22,1.191272,2.2131199999999995
QTUMUSDT,KSMUSDT,0.034,11.0,22,1.0248240000000002,1.9367760000000005
QTUMUSDT,NEARUSDT,0.365,15.0,30,1.373209,2.289508
QTUMUSDT,FILUSDT,0.29,6.0,12,0.8841400000000006,1.6692600000000004
QTUMUSDT,XEMUSDT,68.784,4.0,8,-0.1743308800000003,0.47377024
QTUMUSDT,HBARUSDT,31.398,10.0,20,0.50701884,1.2693685200000009
QTUMUSDT,ONEUSDT,41.587,13.0,26,1.500144338,2.465422136
QTUMUSDT,DGBUSDT,273.901,5.0,10,-0.2836500819999999,0.69442006
QTUMUSDT,ARUSDT,0.193,10.0,20,0.3607980000000001,1.3135940000000002
QTUMUSDT,KLAYUSDT,5.64,10.0,20,1.0760264,2.002700800000001
QTUMUSDT,CKBUSDT,574.526,7.0,14,0.3149386880000002,1.284986332
IOSTUSDT,ALGOUSDT,0.036,9.0,18,-0.0014879999999999,0.00298104
IOSTUSDT,SXPUSDT,0.018,9.0,18,0.00344904,0.0076448
IOSTUSDT,NEARUSDT,0.002,10.0,20,0.0016983999999999,0.0067772
THETAUSDT,ZILUSDT,29.128,6.0,12,-0.1694212799999999,0.283438272
THETAUSDT,SXPUSDT,2.076,8.0,16,0.2639471999999999,0.5307936
THETAUSDT,WAVESUSDT,0.077,9.0,18,0.6516262,1.1297000000000004
THETAUSDT,DOTUSDT,0.163,9.0,18,-0.1586419999999999,0.1008372
THETAUSDT,ICXUSDT,3.593,8.0,16,0.0300702,0.33734428
THETAUSDT,AVAXUSDT,0.034,9.0,18,0.323876,0.6207239999999999
THETAUSDT,KSMUSDT,0.017,11.0,22,0.1027799999999998,0.5267479999999998
THETAUSDT,NEARUSDT,0.177,15.0,30,0.2528262000000001,0.7373574000000002
THETAUSDT,XEMUSDT,33.39,4.0,8,-0.4640422,-0.1153116
THETAUSDT,COTIUSDT,13.857,7.0,14,-0.4190951799999999,-0.0105002599999999
THETAUSDT,IOTXUSDT,41.339,5.0,10,-0.223879034,0.0921046440000003
THETAUSDT,ARUSDT,0.095,6.0,12,-0.0950299999999999,0.2326199999999999
THETAUSDT,KLAYUSDT,2.698,9.0,18,0.2693776,0.6217948400000001
ALGOUSDT,SOLUSDT,0.006,11.0,22,0.091296,0.1848519999999999
ALGOUSDT,ICXUSDT,0.856,10.0,20,0.04363968,0.1464128
ALGOUSDT,KSMUSDT,0.004,11.0,22,0.0738599999999999,0.1917
ALGOUSDT,NEARUSDT,0.043,14.0,28,0.1105854,0.2208854
ALGOUSDT,XEMUSDT,8.194,8.0,16,-0.0831596,0.01624724
ALGOUSDT,COTIUSDT,3.371,9.0,18,-0.0619178399999999,0.0357018000000001
ALGOUSDT,CELOUSDT,0.206,7.0,14,0.0821196,0.1950208
ALGOUSDT,FLOWUSDT,0.108,7.0,14,0.0895352,0.1717616
ZILUSDT,SXPUSDT,0.067,8.0,16,0.0038413399999999,0.0202584
ZILUSDT,WAVESUSDT,0.003,8.0,16,0.0140234,0.034186
ZILUSDT,DOTUSDT,0.006,7.0,14,-0.0118876,-0.0021559999999999
ZILUSDT,EGLDUSDT,0.001,14.0,28,-0.043872,-0.014112
ZILUSDT,SOLUSDT,0.001,6.0,12,-0.0019539999999999,0.0092519999999999
ZILUSDT,ICXUSDT,0.122,6.0,12,-0.00051664,0.0070887999999999
ZILUSDT,AVAXUSDT,0.001,8.0,16,0.0071519999999999,0.02581
ZILUSDT,KSMUSDT,0.001,16.0,32,-0.051304,-0.0043339999999999
ZILUSDT,NEARUSDT,0.006,5.0,10,0.008536,0.0187732
ZILUSDT,RVNUSDT,2.771,11.0,22,-0.0689518359999999,-0.025149414
ZILUSDT,XEMUSDT,1.276,6.0,12,-0.02372312,-0.0125116
ZILUSDT,ONEUSDT,0.7,8.0,16,0.0103514,0.0267816
ZILUSDT,CELOUSDT,0.03,5.0,10,0.0026199999999999,0.013558
ZILUSDT,ARUSDT,0.003,8.0,16,-0.006512,0.0133359999999999
ZILUSDT,FLOWUSDT,0.015,7.0,14,0.003923,0.016692
ZILUSDT,CKBUSDT,11.658,8.0,16,-0.0249393559999999,-0.0025356879999999
DOGEUSDT,FTMUSDT,0.063,13.0,26,0.04498298,0.0778825
DOGEUSDT,ONEUSDT,0.599,14.0,28,0.047862088,0.08127395
DOGEUSDT,ARUSDT,0.003,14.0,28,0.0269219999999999,0.06086
DOGEUSDT,MINAUSDT,0.034,13.0,26,0.0397712,0.0693808
SXPUSDT,WAVESUSDT,0.038,8.0,16,0.1544188,0.313376
SXPUSDT,DOTUSDT,0.08,7.0,14,-0.2545999999999999,-0.1554
SXPUSDT,EGLDUSDT,0.009,9.0,18,-0.1927639999999999,-0.0754459999999999
SXPUSDT,SOLUSDT,0.013,21.0,42,-0.1310619999999999,0.068314
SXPUSDT,AVAXUSDT,0.016,10.0,20,-0.0049759999999999,0.11196
SXPUSDT,KSMUSDT,0.008,10.0,20,-0.08708,0.047664
SXPUSDT,NEARUSDT,0.086,21.0,42,-0.0322287999999999,0.1217728
SXPUSDT,ZENUSDT,0.036,7.0,14,-0.2262879999999999,-0.0864399999999999
SXPUSDT,XEMUSDT,16.206,4.0,8,-0.3858713599999999,-0.26131396
SXPUSDT,COTIUSDT,6.813,9.0,18,-0.3936230599999999,-0.1877322
SXPUSDT,HBARUSDT,7.306,11.0,22,-0.2273150800000002,-0.070921
SXPUSDT,ONEUSDT,9.538,13.0,26,0.0691030519999999,0.198799488
SXPUSDT,DGBUSDT,64.87,6.0,12,-0.4031624800000001,-0.21780628
SXPUSDT,IOTXUSDT,20.049,4.0,8,-0.30141215,-0.146812424
SXPUSDT,CELOUSDT,0.421,6.0,12,-0.0672978000000001,0.0376812
SXPUSDT,ARUSDT,0.046,7.0,14,-0.2341919999999999,-0.0623799999999999
SXPUSDT,KLAYUSDT,1.29,7.0,14,-0.0495904,0.1033654
SXPUSDT,MINAUSDT,0.563,10.0,20,-0.1727107999999999,0.0409874
WAVESUSDT,DOTUSDT,2.114,9.0,18,-15.40754,-8.709945599999998
WAVESUSDT,SOLUSDT,0.3,14.0,28,-8.958199999999998,-1.717
WAVESUSDT,ICXUSDT,46.114,10.0,20,-12.025912399999998,-5.34529076
WAVESUSDT,AVAXUSDT,0.398,11.0,22,-5.9445440000000005,-1.8026640000000005
WAVESUSDT,KSMUSDT,0.191,14.0,28,-8.4973,-2.784229999999999
WAVESUSDT,NEARUSDT,2.519,19.0,38,-9.9808506,-1.900999
WAVESUSDT,FILUSDT,1.826,9.0,18,-11.199052,-4.252553600000001
WAVESUSDT,ZENUSDT,0.905,7.0,14,-12.97648,-6.484319999999999
WAVESUSDT,XEMUSDT,431.504,8.0,16,-18.67503872,-11.37831424
WAVESUSDT,COTIUSDT,182.505,9.0,18,-19.061226000000005,-9.2748463
WAVESUSDT,HBARUSDT,192.263,11.0,22,-13.707418000000002,-6.77563072
WAVESUSDT,ONEUSDT,249.235,9.0,18,-5.858200050000001,-0.0877419799999993
WAVESUSDT,DGBUSDT,1681.048,4.0,8,-17.004404832,-9.970364416
WAVESUSDT,IOTXUSDT,524.829,6.0,12,-15.280233738,-8.859920891999998
WAVESUSDT,CELOUSDT,11.79,8.0,16,-11.588314,-4.183161999999999
WAVESUSDT,ARUSDT,1.193,7.0,14,-13.104306000000006,-6.422098
WAVESUSDT,KLAYUSDT,34.508,13.0,26,-9.756925600000004,-2.7416907200000007
WAVESUSDT,FLOWUSDT,5.995,12.0,24,-11.361783,-3.1184770000000004
WAVESUSDT,MINAUSDT,16.184,9.0,18,-14.6330784,-5.277419200000001
WAVESUSDT,CKBUSDT,3621.467,11.0,22,-15.924810502,-6.719290384
DOTUSDT,ICXUSDT,21.552,4.0,8,0.9449548799999998,2.0124096
DOTUSDT,KSMUSDT,0.101,7.0,14,1.6937999999999995,3.125596
DOTUSDT,NEARUSDT,1.121,15.0,30,2.1126166,4.0178922
DOTUSDT,COTIUSDT,84.076,9.0,18,-2.48836768,0.0711180000000027
DOTUSDT,HBARUSDT,90.239,8.0,16,0.1410011199999997,1.7353615799999993
DOTUSDT,CELOUSDT,5.371,4.0,8,1.8208714,3.1030296
DOTUSDT,ARUSDT,0.577,7.0,14,-0.2846279999999996,1.8219620000000007
EGLDUSDT,SOLUSDT,1.485,15.0,30,-2.60211,22.68786
EGLDUSDT,AVAXUSDT,1.89,9.0,18,9.010380000000003,26.054140000000007
EGLDUSDT,KSMUSDT,0.936,9.0,18,1.3747199999999735,21.492064
EGLDUSDT,NEARUSDT,10.666,16.0,32,3.5732867999999955,26.4129984
EGLDUSDT,XEMUSDT,1844.388,5.0,10,-32.90526696,-14.730386479999998
EGLDUSDT,COTIUSDT,775.34,9.0,18,-34.14508440000001,-7.200717599999998
EGLDUSDT,ONEUSDT,1084.608,10.0,20,19.24336102400001,37.298563456
EGLDUSDT,CELOUSDT,49.525,4.0,8,4.746049999999997,21.55068500000001
EGLDUSDT,MINAUSDT,68.325,9.0,18,-12.465009999999998,16.808950000000003
SOLUSDT,ICXUSDT,135.383,10.0,20,-11.348297400000009,1.0448390799999956
SOLUSDT,KSMUSDT,0.635,7.0,14,-4.439279999999999,6.514250000000002
SOLUSDT,NEARUSDT,7.086,10.0,20,0.6408368000000003,11.675626799999993
SOLUSDT,ZENUSDT,2.843,12.0,24,-16.668462,-4.497289999999998
SOLUSDT,XEMUSDT,1261.863,6.0,12,-28.94947518,-16.760790680000003
ICXUSDT,KSMUSDT,0.005,6.0,12,-0.0191,0.0556
ICXUSDT,NEARUSDT,0.05,12.0,24,0.0470499999999999,0.12515
ICXUSDT,ZENUSDT,0.021,4.0,8,-0.070576,-0.0008079999999999
ICXUSDT,COTIUSDT,3.905,7.0,14,-0.1822596999999999,-0.0665453999999999
ICXUSDT,HBARUSDT,4.236,13.0,26,-0.07806176,0.0143089600000001
ICXUSDT,IOTXUSDT,11.714,8.0,16,-0.132790692,-0.029719176
AVAXUSDT,NEARUSDT,5.656,20.0,40,-6.149611199999999,5.550313600000001
AVAXUSDT,COTIUSDT,410.789,8.0,16,-26.1784708,-12.4018905
AVAXUSDT,HBARUSDT,440.709,9.0,18,-14.81278166,-6.446583639999994
AVAXUSDT,ONEUSDT,576.291,9.0,18,1.5652726099999978,10.118985035999998
AVAXUSDT,IOTXUSDT,1213.304,4.0,8,-19.393612512,-12.323923872000002
AVAXUSDT,CELOUSDT,26.271,5.0,10,-7.212942800000002,0.6063788
AVAXUSDT,KLAYUSDT,78.658,7.0,14,-4.181068359999999,4.1027098399999975
AVAXUSDT,MINAUSDT,35.768,8.0,16,-10.4431776,-2.8286256000000014
KSMUSDT,NEARUSDT,11.102,8.0,16,-2.324264000000008,15.506653599999998
KSMUSDT,ZENUSDT,4.451,7.0,14,-25.97495599999999,-9.683209999999992
