,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
10,1958,TRON,TRX,tron,725,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,91612583972.16025,91612599387.98383,,15,71659659264.0,4972736720.038312,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.06939380916839621, 'volume_24h': 298323882.3736818, 'volume_change_24h': -1.0097, 'percent_change_1h': 0.11963017, 'percent_change_24h': 4.42964263, 'percent_change_7d': 4.57419274, 'percent_change_30d': 10.29803167, 'percent_change_60d': 29.92191985, 'percent_change_90d': 38.69612435, 'market_cap': 6357346169.587762, 'market_cap_dominance': 0.6021, 'fully_diluted_market_cap': 6357347239.35, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
11,5805,Avalanche,AVAX,avalanche,375,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem']",720000000.0,315125667.22776514,420531657.22776514,,16,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 18.760373616156347, 'volume_24h': 179802887.8381317, 'volume_change_24h': -26.8773, 'percent_change_1h': 1.00816015, 'percent_change_24h': 4.25841992, 'percent_change_7d': -6.1978648, 'percent_change_30d': 11.28045704, 'percent_change_60d': 58.15600901, 'percent_change_90d': 44.30851151, 'market_cap': 5911875253.23343, 'market_cap_dominance': 0.5601, 'fully_diluted_market_cap': 13507469003.63, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
12,3794,Cosmos,ATOM,cosmos,397,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,286370297.0,0.0,,20,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 13.578537181732349, 'volume_24h': 157540501.95618117, 'volume_change_24h': -14.7357, 'percent_change_1h': 0.48130204, 'percent_change_24h': 0.68528265, 'percent_change_7d': -9.52128358, 'percent_change_30d': 10.24412712, 'percent_change_60d': 55.60738501, 'percent_change_90d': 36.17118551, 'market_cap': 3888489725.5582356, 'market_cap_dominance': 0.3684, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
13,1321,Ethereum Classic,ETC,ethereum-classic,371,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,139291503.6691034,210700000.0,,23,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 21.50870334218542, 'volume_24h': 165391479.35090834, 'volume_change_24h': 2.9589, 'percent_change_1h': 0.39083657, 'percent_change_24h': 2.2174177, 'percent_change_7d': -4.60105678, 'percent_change_30d': -2.15941295, 'percent_change_60d': 35.50184394, 'percent_change_90d': 9.19232175, 'market_cap': 2995979630.505677, 'market_cap_dominance': 0.2838, 'fully_diluted_market_cap': 4531883794.2, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
14,328,Monero,XMR,monero,205,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18240755.11188879,18240755.11188879,,24,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 162.58585906045977, 'volume_24h': 86382291.8927873, 'volume_change_24h': -17.6364, 'percent_change_1h': 0.3385812, 'percent_change_24h': 3.14386194, 'percent_change_7d': -2.03597413, 'percent_change_30d': -4.40341004, 'percent_change_60d': 14.58578873, 'percent_change_90d': 23.61238292, 'market_cap': 2965688839.7779117, 'market_cap_dominance': 0.281, 'fully_diluted_market_cap': 2965688839.78, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
15,11419,Toncoin,TON,toncoin,85,2021-08-26T13:40:22.000Z,['pos'],5000000000.0,1221401181.0,5047558528.0,,25,3414166606.0,7868745862.02212,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 2.304734001027869, 'volume_24h': 26306482.09667046, 'volume_change_24h': -10.7549, 'percent_change_1h': -0.04406936, 'percent_change_24h': 0.96616669, 'percent_change_7d': 1.16763358, 'percent_change_30d': -0.68888089, 'percent_change_60d': -9.37011721, 'percent_change_90d': 28.32110765, 'market_cap': 2815004830.7462945, 'market_cap_dominance': 0.2667, 'fully_diluted_market_cap': 11523670005.14, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
16,1831,Bitcoin Cash,BCH,bitcoin-cash,671,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments']",21000000.0,19312556.25,19312556.25,,27,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 127.86504884202814, 'volume_24h': 190255606.21559528, 'volume_change_24h': -2.9507, 'percent_change_1h': 0.47383204, 'percent_change_24h': 1.46083771, 'percent_change_7d': -3.15687923, 'percent_change_30d': 3.30786573, 'percent_change_60d': 24.63625434, 'percent_change_90d': 24.17395375, 'market_cap': 2469400948.1706657, 'market_cap_dominance': 0.2339, 'fully_diluted_market_cap': 2685166025.68, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
17,512,Stellar,XLM,stellar,478,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,26324085138.986183,50001787454.757675,,30,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.08700935446156297, 'volume_24h': 54407336.0631614, 'volume_change_24h': -2.1908, 'percent_change_1h': 0.49067102, 'percent_change_24h': 2.26440415, 'percent_change_7d': -4.42058314, 'percent_change_30d': -1.38219765, 'percent_change_60d': 16.69594416, 'percent_change_90d': -3.36934809, 'market_cap': 2290441654.734411, 'market_cap_dominance': 0.217, 'fully_diluted_market_cap': 4350624932.62, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
18,4642,Hedera,HBAR,hedera,125,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio']",50000000000.0,26051470158.876575,50000000000.0,,31,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 0.08697229732878393, 'volume_24h': 78047050.9600804, 'volume_change_24h': -49.3251, 'percent_change_1h': -0.11755558, 'percent_change_24h': 0.01225227, 'percent_change_7d': 14.46089543, 'percent_change_30d': 62.41645111, 'percent_change_60d': 105.57152701, 'percent_change_90d': 74.00373357, 'market_cap': 2265756208.5097556, 'market_cap_dominance': 0.2147, 'fully_diluted_market_cap': 4348614866.44, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
19,2280,Filecoin,FIL,filecoin,275,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3']",,389513726.0,389513726.0,,32,,,,2023-02-15T19:11:00.000Z,"{'USD': {'price': 5.28485435483145, 'volume_24h': 152852216.5223178, 'volume_change_24h': -4.0273, 'percent_change_1h': 1.13505717, 'percent_change_24h': 4.38692538, 'percent_change_7d': -2.23560587, 'percent_change_30d': 14.23951529, 'percent_change_60d': 74.51889006, 'percent_change_90d': 21.92047097, 'market_cap': 2058523311.1177242, 'market_cap_dominance': 0.195, 'fully_diluted_market_cap': 2058523311.12, 'tvl': None, 'last_updated': '2023-02-15T19:11:00.000Z'}}"
